"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
1,50,1,3,0,"cltn",0.100206542922798,0.0107046343647494,1.383803,1.543538,NA,1,1,NA
1,50,1,3,0,"ordn",0.100206542922798,0.0107046343647494,1.470171,1.595225,NA,1,1,NA
1,50,1,3,0,"clt",0.106647863512776,0.0122812532048717,0.540903,0.594789,1626.51306,0,0,0
1,50,1,3,0,"ord",0.109697713147535,0.0130639198051126,0.557383,0.610451,1660.594375,0,0,0
1,50,1,3,0,"ind",0.095538215405757,0.00973821108744816,2.073083,3.004725,NA,1,1,NA
1,50,1,3,0,"kern",0.107950934743658,0.0132077632784882,NA,NA,NA,NA,NA,NA
1,50,1,3,0,"spline",0.189405987409489,0.0378497217631071,NA,NA,NA,NA,NA,NA
1,150,1,3,0,"cltn",0.0424149573793759,0.0016573663797076,0.884865,0.945938,NA,1,1,NA
1,150,1,3,0,"ordn",0.0424149573793759,0.0016573663797076,0.8821615,0.9717295,NA,1,1,NA
1,150,1,3,0,"clt",0.0514624136194866,0.0023647071061015,0.6133505,0.6733645,1526.82316,1,0,1
1,150,1,3,0,"ord",0.0356175005344729,0.00114493020863068,0.5924915,0.698158,1535.578255,1,0,1
1,150,1,3,0,"ind",0.0657774093177232,0.00401794624257339,1.812313,2.972597,NA,1,1,NA
1,150,1,3,0,"kern",0.0471604765494407,0.00200109196616883,NA,NA,NA,NA,NA,NA
1,150,1,3,0,"spline",0.147823903193121,0.0211924107794964,NA,NA,NA,NA,NA,NA
1,500,1,3,0,"cltn",0.0221162417250011,0.000577884395728599,0.517332,0.5918415,NA,1,1,NA
1,500,1,3,0,"ordn",0.0221162417250011,0.000577884395728599,0.529477,0.573456,NA,1,1,NA
1,500,1,3,0,"clt",0.0146325073354702,0.000238521568420246,0.7419695,0.778961,1357.556045,1,1,1
1,500,1,3,0,"ord",0.00954633490133589,0.000115434369814116,0.763463,0.82031,1293.987485,1,1,1
1,500,1,3,0,"ind",0.0369544542721101,0.00135999000252968,1.954573,3.069051,NA,1,1,NA
1,500,1,3,0,"kern",0.021712705637468,0.000528977979422774,NA,NA,NA,NA,NA,NA
1,500,1,3,0,"spline",0.117330281475182,0.0136471090337112,NA,NA,NA,NA,NA,NA
1,1000,1,3,0,"cltn",0.0163883681951736,0.00024419201401631,0.4048645,0.443621,NA,1,1,NA
1,1000,1,3,0,"ordn",0.0163883681951736,0.00024419201401631,0.3991135,0.432111,NA,1,1,NA
1,1000,1,3,0,"clt",0.0207688516779396,0.000409794852949625,0.3940405,0.409211,3912.6466,1,1,1
1,1000,1,3,0,"ord",0.0119587866336691,0.000139646162167594,0.451002,0.4838045,4076.119,1,1,1
1,1000,1,3,0,"ind",0.0315008914501248,0.00127483694423826,2.051889,3.207657,NA,1,1,NA
1,1000,1,3,0,"kern",0.0147233597343277,0.00023508101368504,NA,NA,NA,NA,NA,NA
1,1000,1,3,0,"spline",0.0980587441267745,0.00961311873372192,NA,NA,NA,NA,NA,NA
2,50,1,3,0,"cltn",0.021404095462603,0.000414237783954254,1.801556,1.82802,NA,1,1,NA
2,50,1,3,0,"ordn",0.021404095462603,0.000414237783954254,1.753415,1.847205,NA,1,1,NA
2,50,1,3,0,"clt",0.0148065199337105,0.000198425431525057,1.417377,1.513752,396.23438,1,1,1
2,50,1,3,0,"ord",0.0406358390239481,0.00160881727161857,1.346754,1.430235,377.96828,1,1,1
2,50,1,3,0,"ind",0.0311822096967609,0.000951025431391194,2.870345,3.952562,NA,1,1,NA
2,50,1,3,0,"kern",0.0435404715759919,0.00184971848235484,NA,NA,NA,NA,NA,NA
2,50,1,3,0,"spline",0.09907547170034,0.0106901760199155,NA,NA,NA,NA,NA,NA
2,150,1,3,0,"cltn",0.0744413377600935,0.00513537656940549,1.264619,1.316644,NA,1,0,NA
