"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,500,7,23,"cltn6",6,0.0430538313769137,0.230742430715764,0.00187476976116623,0.0495760815349694,0.448360926209481,0.357451336413423
1,500,7,23,"clt6",6,0.0433336778258346,0.202517057061795,0.0018689352159671,0.0483521294302042,0.421231451106898,0.341134746913591
1,500,7,23,"cltn5",5,0.0453012119193284,0.194826150096481,0.00203035570359792,0.0504926404129213,0.397089337221582,0.329631781270912
1,500,7,23,"clt5",5,0.0417137592628713,0.144246307794666,0.00184282786606723,0.0505019329700556,0.373049679652689,0.335105582950712
1,500,7,23,"cltn4",4,0.0476486461214496,0.160263591924366,0.0021503274763754,0.0494114816336858,0.324480128627071,0.292094113439481
1,500,7,23,"clt4",4,0.0442535196170007,0.156483404519766,0.00200380367297624,0.0522035927971015,0.316007254225568,0.287363758161795
1,500,7,23,"cltn3",3,0.0410083509147689,0.108770348480765,0.00166897588460193,0.0461210423013204,0.206540439665727,0.23422410782441
1,500,7,23,"clt3",3,0.0411474004492557,0.114671359643177,0.00177516125918906,0.0493542170099729,0.20461591174996,0.234419985279379
1,500,7,23,"cltn2",2,0.0404179177922737,0.0421179497238803,0.00174469347132329,0.0492683844209403,0.00858526777453175,0.0504811254028585
1,500,7,23,"clt2",2,0.0436566190841213,0.0418808924957101,0.00192849733976475,0.0495699483409664,0.00886533382670628,0.0511479482857759
1,500,7,23,"cltn1",1,0.214144925977016,0.216690358877996,0.053106855880693,0.229222615557252,0.172356838920948,0.250976375164025
1,500,7,23,"clt1",1,0.166937265184822,0.179734553397902,0.034649188767942,0.188141959646554,0.15099404717817,0.233254557646533
2,500,7,23,"cltn6",6,0.0305820585582234,0.140190686384877,0.000960406300514484,0.029483134900404,0.284730129246525,0.27303636539088
2,500,7,23,"clt6",6,0.0330131218116506,0.156590349085139,0.00118534701021327,0.0343771112060255,0.3002847835049,0.282264532121095
2,500,7,23,"cltn5",5,0.034669338141524,0.118642878897829,0.00130266850061732,0.0351526151090166,0.23113751876985,0.247376819457507
2,500,7,23,"clt5",5,0.0342353762517433,0.265699642664558,0.0012132258013539,0.0318667245051264,0.322585188236598,0.33939778908197
2,500,7,23,"cltn4",4,0.0343492410855954,0.0922323236665707,0.00127408308441266,0.0339401269701934,0.165311755474764,0.216823235124712
2,500,7,23,"clt4",4,0.0331013242984534,0.100230899799712,0.0012178732359993,0.0336841604829404,0.186747046567204,0.22671731377192
2,500,7,23,"cltn3",3,0.0340302002114773,0.103392861062335,0.00123034670085744,0.0335309572694479,0.125974435020616,0.210467920639006
2,500,7,23,"clt3",3,0.0318901911785954,0.0882629957904445,0.00108452350248211,0.031291844417132,0.129352801970081,0.206953659338822
2,500,7,23,"cltn2",2,0.0384820285086219,0.035629680341425,0.00155723574242931,0.0374867464762013,0.00414923663138413,0.0408369076898934
2,500,7,23,"clt2",2,0.0363414032462571,0.0361561940054023,0.00138736361368474,0.035002446376816,0.00421290870168585,0.0414185515500762
2,500,7,23,"cltn1",1,0.129828781989933,0.136680241987394,0.0172718279462297,0.1260287547798,0.153250794272564,0.233044785709973
2,500,7,23,"clt1",1,0.113482453109828,0.132149109426027,0.0128429204016719,0.102462168154376,0.171515253130404,0.233946803332385
3,500,7,23,"cltn6",6,0.0212259112052008,0.17650870575564,0.000480451005151572,0.0235352171490961,0.364442498770835,0.310729349481643
3,500,7,23,"clt6",6,0.0213076336945154,0.173427114991729,0.000478376133702958,0.0212017731839138,0.356637128068137,0.306988789144237
3,500,7,23,"cltn5",5,0.0187930154838814,0.160510981855392,0.000349215285262625,0.0176985473127138,0.325861494744573,0.290865064263403
3,500,7,23,"clt5",5,0.0214992975508004,0.155903224363482,0.000488011697058446,0.0211456879261565,0.312682387772983,0.284168509723896
3,500,7,23,"cltn4",4,0.020979917771955,0.137213922824398,0.000450147392522992,0.0203429652386405,0.247032338171209,0.252766854593939
3,500,7,23,"clt4",4,0.017982935813294,0.138922349829327,0.000330113391963502,0.0186129587388111,0.255465437717767,0.256582663284962
3,500,7,23,"cltn3",3,0.0211669196241067,0.129585683813798,0.000482525105455546,0.023075517479925,0.177889176433207,0.224848874358318
3,500,7,23,"clt3",3,0.0200887846779227,0.128561798123579,0.000416685719769979,0.0208211553416777,0.169119446590218,0.220914911795187
3,500,7,23,"cltn2",2,0.019713526515454,0.0233410896971516,0.000382365450273928,0.0200466829444203,0.00404650751910021,0.0348839520281953
3,500,7,23,"clt2",2,0.01810006155538,0.0233769436392835,0.000332454590294882,0.0186827335301233,0.00401417070441482,0.0347704997747921
3,500,7,23,"cltn1",1,0.153086626932136,0.152640104480873,0.0328640201242213,0.219196224082184,0.693797701475617,0.222492227514508
3,500,7,23,"clt1",1,0.0917678068975686,0.113205961755773,0.0107754606411626,0.130316760252609,0.284552240558346,0.228368135089851
4,500,7,23,"cltn6",6,0.0170597712252789,0.188560155021842,0.0003077904809414,0.0192161066392452,0.384152570153661,0.323904970649632
4,500,7,23,"clt6",6,0.0252736988256131,0.196459673776182,0.000631634093939091,0.0230743350181592,0.406919858812602,0.336245282233311
4,500,7,23,"cltn5",5,0.0241873152989963,0.183110760052949,0.00057401008297477,0.020956552034094,0.349100225112905,0.306292139891458
4,500,7,23,"clt5",5,0.0201234141160458,0.180692929509583,0.000398291178611255,0.0203778763828388,0.35973382009936,0.311837384606447
4,500,7,23,"cltn4",4,0.0199763721119333,0.186258862041652,0.000443510468669517,0.0203537095577981,0.306141644015522,0.288554393727703
4,500,7,23,"clt4",4,0.0178467192448541,0.172397259145483,0.000344396821474369,0.0193236807862264,0.31785200272184,0.291508130309666
4,500,7,23,"cltn3",3,0.0184505165629809,0.204688387622395,0.000358641177496934,0.0185750613827634,0.23554756824589,0.274218460564812
4,500,7,23,"clt3",3,0.0190487806226313,0.16669061664075,0.000402258213977428,0.0208510688845521,0.218108411293231,0.255711527977383
