"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,500,7,23,"cltn6",6,0.0149067420618929,0.0151583214200279,0.000249620382578643,0.0195158827786924,0.0145453962523424,0.048079807422816
1,500,7,23,"clt6",6,0.0238423918192599,0.015631117744501,0.00055277905661553,0.0304162354350031,0.0148258506241544,0.0475919358503294
1,500,7,23,"cltn5",5,0.0132519750483168,0.0128515258603024,0.000215738327176218,0.0192037092728179,0.014243108455239,0.0461371623587622
1,500,7,23,"clt5",5,0.0138521385837457,0.0141363918047696,0.00028695186588847,0.02428757103962,0.0133333860285859,0.045628820816754
1,500,7,23,"cltn4",4,0.0302789933322928,0.0155296282537532,0.000891885129296536,0.0319287128282263,0.0106584153989561,0.0439325603190915
1,500,7,23,"clt4",4,0.0159498728240692,0.0175223659259887,0.000282633089840941,0.0181190661755084,0.0112202808275675,0.0456408960450748
1,500,7,23,"cltn3",3,0.0155421393296923,0.0164194613874596,0.000246640416061771,0.0173674433470149,0.00923541305675679,0.0438252718593554
1,500,7,23,"clt3",3,0.0266447647813779,0.0192600741825531,0.000699650458908076,0.0273494792282014,0.0122446731528349,0.0496848789549163
1,500,7,23,"cltn2",2,0.0251896170125997,0.0117715200681106,0.000687627937208049,0.0295455791871943,0.00715391524154182,0.040072220692563
1,500,7,23,"clt2",2,0.0159240348868363,0.013895964825505,0.000273726314002053,0.0183362635937564,0.00882118027528641,0.0414129687973249
1,500,7,23,"cltn1",1,0.187991693503107,0.192862142274732,0.0400270226601062,0.230256579101461,0.730792298037151,0.228374127866873
1,500,7,23,"clt1",1,0.173972159257852,0.180478575873164,0.035683875969343,0.223746249886353,0.683091490860569,0.223170761529528
2,500,7,23,"cltn6",6,0.0285025753642168,0.0361609229697729,0.000714712021681756,0.0259482301682406,0.023186230474579,0.05773281519303
2,500,7,23,"clt6",6,0.0287216651383944,0.033087614427188,0.000758179580143898,0.0267357907802667,0.0213608157542919,0.0541801206182759
2,500,7,23,"cltn5",5,0.0251440169732049,0.0243053873009749,0.000543761416887403,0.020297797931299,0.0174001482361661,0.0460490128459816
2,500,7,23,"clt5",5,0.0181334437838971,0.0175878406140036,0.000295180101501268,0.0196309122724764,0.0178134857085528,0.0400820350223263
2,500,7,23,"cltn4",4,0.0268408667710359,0.032759303372041,0.000668225432262851,0.0259348806043415,0.0168985560991045,0.0520772422487503
2,500,7,23,"clt4",4,0.0325342871435045,0.029952197226437,0.00103560533232005,0.0326701958034603,0.0166443237817268,0.049734248334883
2,500,7,23,"cltn3",3,0.0370175503913413,0.0271917739520596,0.0014768081529063,0.0398861735111862,0.0152113686220712,0.0478664546704853
2,500,7,23,"clt3",3,0.00998378525759674,0.00867874612229457,0.00013041221206452,0.0195837745923744,0.0141327428361798,0.0369026808284248
2,500,7,23,"cltn2",2,0.0264614486092018,0.0357401618586597,0.000654697382218217,0.0241171773507691,0.012579163027805,0.0520992462429223
2,500,7,23,"clt2",2,0.0468183405019318,0.0444743388490612,0.00244588437301155,0.0466815530867984,0.0105768424431804,0.050072993149189
