"rep","n","probs","quants","model","comp","uwd1","uwd1o","uwd2","ks","kld","tv"
1,5000,2,11,"cltn5",5,0.0204621960572796,0.296433299943876,0.000437123479798394,0.0273769071212695,0.359011906566971,0.360851036486401
1,5000,2,11,"clt5",5,0.0216856349603275,0.267297243074058,0.000449500520212555,0.0256001026387275,0.353039603136426,0.346506641331699
1,5000,2,11,"cltn4",4,0.00790522678017264,0.097874057599064,7.75968372880599e-05,0.0156311403146566,0.0887547927890308,0.155644253351008
1,5000,2,11,"clt4",4,0.0177302829110812,0.244856146049586,0.000360719847650914,0.0300426143539452,0.331519508882574,0.338601833803398
1,5000,2,11,"cltn3",3,0.0153107355008188,0.030276353314846,0.000314480912040482,0.0315855207410514,0.114968808845143,0.127230567537638
1,5000,2,11,"clt3",3,0.0164253199960648,0.153965811904493,0.00031089841413482,0.0250328866800372,0.171746859776958,0.221352169796851
1,5000,2,11,"cltn2",2,0.0406573312922007,0.00773710071946818,0.00159970298795035,0.0428656287457266,0.00675064905369545,0.0371772076602566
1,5000,2,11,"clt2",2,0.00964634548353284,0.0411566063109213,9.92517292410266e-05,0.0148529288493309,0.0234765859434992,0.0735504816251477
1,5000,2,11,"cltn1",1,0.0346089084596496,0.0419368867773403,0.00117193047076153,0.0369805875391923,0.115945671318794,0.115384307490128
1,5000,2,11,"clt1",1,0.041200378571739,0.0438318294448623,0.00166857130848532,0.041345141474515,0.110411426188627,0.116525496701572
2,5000,2,11,"cltn5",5,0.0407874166888829,0.234089884310912,0.00159837118848625,0.0465073258347505,0.312729573570732,0.33601746896053
2,5000,2,11,"clt5",5,0.0221075450316162,0.221805115513155,0.000518454975682797,0.0274010688000275,0.28580688401765,0.309265993017286
2,5000,2,11,"cltn4",4,0.0230268010875597,0.192454396704826,0.000505290561873933,0.0274122402837921,0.285310022578897,0.316039081139715
2,5000,2,11,"clt4",4,0.0380757235913718,0.201040876400403,0.00149326242840075,0.0450038978750861,0.299191434848639,0.321109061661388
2,5000,2,11,"cltn3",3,0.020322068816585,0.0643064088216974,0.000471699519836384,0.0325175285905838,0.0644236599292101,0.115408488587494
2,5000,2,11,"clt3",3,0.0251723654881757,0.175814248747297,0.000878496054029827,0.0446750444727263,0.188235945766933,0.239966626622588
2,5000,2,11,"cltn2",2,0.0320978812589556,0.00815232119355354,0.000949904799059149,0.0369918773374117,0.00753889448846587,0.0368317901971777
